image_path,boredom,engagement,confusion,frustration,split
Train\110001\1100011002\1100011002.jpg,0,2,0,0,train
Train\110001\1100011003\1100011003.jpg,0,2,0,0,train
Train\110001\1100011004\1100011004.jpg,0,3,0,0,train
Train\110001\1100011005\1100011005.jpg,0,3,0,0,train
Train\110001\1100011006\1100011006.jpg,0,3,0,0,train
Train\110001\1100011007\1100011007.jpg,1,2,0,0,train
Train\110001\1100011008\1100011008.jpg,0,3,0,0,train
Train\110001\1100011009\1100011009.jpg,0,2,1,0,train
Train\110001\1100011010\1100011010.jpg,0,3,0,0,train
Train\110001\1100011011\1100011011.jpg,0,3,0,0,train
Train\110001\1100011012\1100011012.jpg,0,2,2,0,train
Train\110001\1100011013\1100011013.jpg,0,3,0,0,train
Train\110001\1100011014\1100011014.jpg,0,3,0,0,train
Train\110001\1100011015\1100011015.jpg,0,3,0,0,train
Train\110001\1100011016\1100011016.jpg,0,3,0,0,train
Train\110001\1100011017\1100011017.jpg,0,3,0,0,train
Train\110001\1100011018\1100011018.jpg,0,3,0,0,train
Train\110001\1100011019\1100011019.jpg,0,3,0,0,train
Train\110001\1100011020\1100011020.jpg,0,3,0,0,train
Train\110001\1100011021\1100011021.jpg,0,3,0,0,train
Train\110001\1100011022\1100011022.jpg,0,3,0,0,train
Train\110001\1100011023\1100011023.jpg,0,3,0,0,train
Train\110001\1100011025\1100011025.jpg,0,3,0,0,train
Train\110001\1100011026\1100011026.jpg,0,3,0,0,train
Train\110001\1100011027\1100011027.jpg,0,3,0,0,train
Train\110001\1100011028\1100011028.jpg,0,3,0,0,train
Train\110001\1100011029\1100011029.jpg,0,3,0,0,train
Train\110001\1100011031\1100011031.jpg,0,3,0,0,train
Train\110001\1100011032\1100011032.jpg,0,3,0,0,train
Train\110001\1100011034\1100011034.jpg,0,3,0,0,train
Train\110001\1100011035\1100011035.jpg,0,3,0,0,train
Train\110001\1100011037\1100011037.jpg,0,3,0,0,train
Train\110001\1100011038\1100011038.jpg,0,3,0,0,train
Train\110001\1100011040\1100011040.jpg,1,2,0,0,train
Train\110001\1100011046\1100011046.jpg,0,3,0,0,train
Train\110001\1100011047\1100011047.jpg,0,3,0,0,train
Train\110001\1100011048\1100011048.jpg,1,2,1,1,train
Train\110001\1100011049\1100011049.jpg,0,3,0,0,train
Train\110001\1100011050\1100011050.jpg,0,3,0,0,train
Train\110001\1100011051\1100011051.jpg,0,3,1,0,train
Train\110001\1100011052\1100011052.jpg,1,3,0,1,train
Train\110001\1100011053\1100011053.jpg,0,3,0,0,train
Train\110001\1100011054\1100011054.jpg,0,3,0,0,train
Train\110001\1100011055\1100011055.jpg,0,3,0,0,train
Train\110001\1100011056\1100011056.jpg,0,3,0,0,train
Train\110001\1100011057\1100011057.jpg,1,3,0,0,train
Train\110001\1100011058\1100011058.jpg,0,3,0,0,train
Train\110001\1100011059\1100011059.jpg,0,3,1,0,train
Train\110001\1100011060\1100011060.jpg,1,3,1,1,train
Train\110001\1100011062\1100011062.jpg,0,3,0,0,train
Train\110001\1100011063\1100011063.jpg,0,3,0,0,train
Train\110001\1100011064\1100011064.jpg,0,3,0,0,train
Train\110001\1100011066\1100011066.jpg,1,3,0,0,train
Train\110001\1100011067\1100011067.jpg,0,3,0,0,train
Train\110001\1100011068\1100011068.jpg,0,3,0,0,train
Train\110001\1100011069\1100011069.jpg,0,3,0,0,train
Train\110001\1100011070\1100011070.jpg,0,3,0,0,train
Train\110001\1100011071\1100011071.jpg,0,3,0,0,train
Train\110001\1100011072\1100011072.jpg,0,3,0,0,train
Train\110001\1100011073\1100011073.jpg,0,3,0,0,train
Train\110001\1100011075\1100011075.jpg,0,3,0,0,train
Train\110001\1100011076\1100011076.jpg,0,3,0,0,train
Train\110001\1100011078\1100011078.jpg,0,2,0,0,train
Train\110001\1100011079\1100011079.jpg,0,3,0,0,train
Train\110001\1100011080\1100011080.jpg,0,3,0,0,train
Train\110001\1100011081\1100011081.jpg,0,3,0,0,train
Train\110001\1100011082\1100011082.jpg,0,3,0,0,train
Train\110001\1100011083\1100011083.jpg,0,3,0,0,train
Train\110001\1100012001\1100012001.jpg,0,3,0,0,train
Train\110001\1100012003\1100012003.jpg,0,3,0,0,train
Train\110001\1100012007\1100012007.jpg,0,3,0,1,train
Train\110001\1100012008\1100012008.jpg,0,3,0,0,train
Train\110001\1100012009\1100012009.jpg,0,3,0,0,train
Train\110001\1100012010\1100012010.jpg,0,3,3,0,train
Train\110001\1100012011\1100012011.jpg,0,3,0,1,train
Train\110001\1100012013\1100012013.jpg,0,3,0,0,train
Train\110001\1100012014\1100012014.jpg,0,3,0,0,train
Train\110001\1100012015\1100012015.jpg,0,3,0,0,train
Train\110001\1100012016\1100012016.jpg,0,3,0,0,train
Train\110001\1100012017\1100012017.jpg,0,3,1,0,train
Train\110001\1100012018\1100012018.jpg,0,3,0,0,train
Train\110001\1100012021\1100012021.jpg,1,2,0,0,train
Train\110001\1100012022\1100012022.jpg,0,3,0,0,train
Train\110001\1100012023\1100012023.jpg,0,3,0,0,train
Train\110001\1100012025\1100012025.jpg,0,3,0,0,train
Train\110001\1100012026\1100012026.jpg,1,3,0,0,train
Train\110001\1100012027\1100012027.jpg,0,3,0,0,train
Train\110001\1100012028\1100012028.jpg,0,3,0,0,train
Train\110001\1100012030\1100012030.jpg,0,3,0,0,train
Train\110001\1100012031\1100012031.jpg,0,3,0,0,train
Train\110001\1100012032\1100012032.jpg,0,3,0,0,train
Train\110001\1100012033\1100012033.jpg,0,3,0,0,train
Train\110001\1100012036\1100012036.jpg,0,3,0,0,train
Train\110001\1100012037\1100012037.jpg,0,3,0,0,train
Train\110001\1100012038\1100012038.jpg,0,3,0,0,train
Train\110001\1100012041\1100012041.jpg,0,3,0,0,train
Train\110001\1100012042\1100012042.jpg,0,2,0,0,train
Train\110001\1100012045\1100012045.jpg,0,2,0,0,train
Train\110001\1100012046\1100012046.jpg,0,3,0,0,train
Train\110001\1100012047\1100012047.jpg,0,2,0,0,train
Train\110001\1100012049\1100012049.jpg,0,3,0,0,train
Train\110001\1100012050\1100012050.jpg,0,3,0,0,train
Train\110001\1100012051\1100012051.jpg,0,3,1,0,train
Train\110001\1100012052\1100012052.jpg,0,3,0,0,train
Train\110001\1100012057\1100012057.jpg,1,3,1,1,train
Train\110001\1100012059\1100012059.jpg,0,3,0,0,train
Train\110001\1100012060\1100012060.jpg,0,3,0,0,train
Train\110001\1100012061\1100012061.jpg,0,3,0,0,train
Train\110001\1100012062\1100012062.jpg,0,3,0,0,train
Train\110001\1100012063\1100012063.jpg,0,3,0,0,train
Train\110001\1100012064\1100012064.jpg,0,3,0,0,train
Train\110001\1100012065\1100012065.jpg,0,3,1,1,train
Train\110001\1100012066\1100012066.jpg,0,3,0,0,train
Train\110001\1100012069\1100012069.jpg,0,3,0,0,train
Train\110002\1100021001\1100021001.jpg,0,2,0,0,train
Train\110002\1100021003\1100021003.jpg,0,1,0,0,train
Train\110002\1100021015\1100021015.jpg,2,2,0,1,train
Train\110002\1100021038\1100021038.jpg,0,2,0,0,train
Train\110002\1100021039\1100021039.jpg,1,2,2,2,train
Train\110002\1100021040\1100021040.jpg,0,3,0,0,train
Train\110002\1100021045\1100021045.jpg,1,3,0,1,train
Train\110002\1100021050\1100021050.jpg,0,3,0,2,train
Train\110002\1100021055\1100021055.jpg,3,1,0,0,train
Train\110002\1100022001\1100022001.jpg,2,3,1,1,train
Train\110002\1100022002\1100022002.jpg,2,2,0,0,train
Train\110002\1100022003\1100022003.jpg,2,3,1,1,train
Train\110002\1100022004\1100022004.jpg,2,3,0,1,train
Train\110002\1100022005\1100022005.jpg,2,1,0,0,train
Train\110002\1100022008\1100022008.jpg,2,2,1,1,train
Train\110002\1100022009\1100022009.jpg,2,3,0,0,train
Train\110002\1100022014\1100022014.jpg,0,3,1,0,train
Train\110002\1100022019\1100022019.jpg,1,3,1,1,train
Train\110002\1100022020\1100022020.jpg,0,2,0,0,train
Train\110002\1100022021\1100022021.jpg,1,2,1,0,train
Train\110002\1100022022\1100022022.jpg,3,2,0,1,train
Train\110002\1100022026\1100022026.jpg,0,3,0,0,train
Train\110002\1100022027\1100022027.jpg,1,3,1,1,train
Train\110002\1100022028\1100022028.jpg,0,3,0,0,train
Train\110002\1100022029\1100022029.jpg,0,3,0,0,train
Train\110002\1100022031\1100022031.jpg,0,3,1,1,train
Train\110002\1100022035\1100022035.jpg,0,2,1,0,train
Train\110002\1100022038\1100022038.jpg,1,3,1,1,train
Train\110002\1100022039\1100022039.jpg,1,3,0,1,train
Train\110002\1100022045\1100022045.jpg,0,3,0,0,train
Train\110002\1100022046\1100022046.jpg,0,3,0,0,train
Train\110002\1100022047\1100022047.jpg,1,3,3,0,train
Train\110002\1100022048\1100022048.jpg,0,2,2,0,train
Train\110002\1100022049\1100022049.jpg,0,2,3,0,train
Train\110002\1100022051\1100022051.jpg,0,3,3,1,train
Train\110002\1100022052\1100022052.jpg,0,2,2,0,train
Train\110002\1100022053\1100022053.jpg,0,2,2,1,train
Train\110002\1100022054\1100022054.jpg,1,2,0,0,train
Train\110002\1100022055\1100022055.jpg,1,2,0,0,train
Train\110002\1100022056\1100022056.jpg,0,3,0,0,train
Train\110002\1100022057\1100022057.jpg,0,2,0,0,train
Train\110004\1100041006\1100041006.jpg,0,3,0,0,train
Train\110004\1100041015\1100041015.jpg,2,3,0,0,train
Train\110004\1100041016\1100041016.jpg,0,3,0,0,train
Train\110004\1100041017\1100041017.jpg,2,2,0,2,train
Train\110004\1100041018\1100041018.jpg,2,2,0,0,train
Train\110004\1100041021\1100041021.jpg,0,2,0,0,train
Train\110004\1100041022\1100041022.jpg,2,2,0,0,train
Train\110004\1100041023\1100041023.jpg,2,2,2,1,train
Train\110004\1100041024\1100041024.jpg,2,2,0,0,train
Train\110004\1100041029\1100041029.jpg,0,3,0,0,train
Train\110004\1100041034\1100041034.jpg,0,2,0,0,train
Train\110004\1100041044\1100041044.jpg,0,2,0,0,train
Train\110004\1100041051\1100041051.jpg,0,3,0,0,train
Train\110004\1100041052\1100041052.jpg,0,2,0,0,train
Train\110004\1100042009\1100042009.jpg,2,2,1,1,train
Train\110004\1100042010\1100042010.jpg,2,2,0,0,train
Train\110004\1100042011\1100042011.jpg,2,2,1,1,train
Train\110004\1100042017\1100042017.jpg,2,2,0,0,train
Train\110004\1100042018\1100042018.jpg,0,2,0,0,train
Train\110004\1100042019\1100042019.jpg,0,3,0,0,train
Train\110004\1100042020\1100042020.jpg,0,3,0,0,train
Train\110004\1100042023\1100042023.jpg,3,1,1,0,train
Train\110004\1100042024\1100042024.jpg,2,2,1,0,train
Train\110004\1100042025\1100042025.jpg,1,2,0,0,train
Train\110004\1100042026\1100042026.jpg,2,1,1,0,train
Train\110004\1100042029\1100042029.jpg,0,3,1,0,train
Train\110004\1100042030\1100042030.jpg,0,2,1,0,train
Train\110004\1100042031\1100042031.jpg,2,3,2,0,train
Train\110004\1100042034\1100042034.jpg,1,2,0,0,train
Train\110004\1100042040\1100042040.jpg,1,2,0,0,train
Train\110004\1100042041\1100042041.jpg,0,3,0,0,train
Train\110004\1100042058\1100042058.jpg,1,2,2,0,train
Train\110004\1100042059\1100042059.jpg,2,2,0,1,train
Train\110004\1100042060\1100042060.jpg,2,2,0,0,train
Train\110005\1100051002\1100051002.jpg,1,2,0,0,train
Train\110005\1100051004\1100051004.jpg,2,2,3,1,train
Train\110005\1100051006\1100051006.jpg,2,2,1,1,train
